"CommuteDays","MilesOneWay","Bus"
5,20.92036408,"Yes"
5,20.92036408,"No"
5,20.92036408,"No"
5,20.52324874,"No"
5,20.92036408,"Yes"
5,20.92036408,"Yes"
5,17.3030676,"Yes"
5,17.3030676,"Yes"
5,17.3030676,"Yes"
4,17.3030676,"Yes"
5,17.16879825,"No"
5,17.3030676,"No"
5,17.16879825,"Yes"
5,17.16879825,"No"
5,17.16879825,"No"
5,17.16879825,"No"
5,17.3030676,"Yes"
5,17.3030676,"No"
3,17.16879825,"No"
3,17.16879825,"No"
3,17.16879825,"No"
5,17.3030676,"No"
5,17.3030676,"No"
6,17.16879825,"No"
4,17.16879825,"No"
5,17.3030676,"No"
5,17.3030676,"No"
5,17.3030676,"No"
3,17.3030676,"No"
4,17.3030676,"No"
5,17.3030676,"No"
4,17.3030676,"Yes"
5,11.99386948,"No"
5,20.09473197,"No"
3,20.09473197,"No"
5,20.09473197,"No"
5,20.09473197,"Yes"
5,20.09473197,"No"
5,18.126092,"No"
5,18.126092,"No"
5,18.126092,"No"
5,18.126092,"No"
5,20.09473197,"No"
5,18.126092,"No"
5,18.126092,"No"
5,18.126092,"Yes"
5,18.126092,"No"
5,20.09473197,"No"
5,18.126092,"No"
4,20.09473197,"Yes"
5,18.126092,"No"
4,20.09473197,"No"
5,20.09473197,"No"
5,20.09473197,"No"
5,20.09473197,"Yes"
5,18.126092,"No"
5,20.09473197,"No"
5,18.126092,"No"
5,18.126092,"No"
5,20.09473197,"No"
4,20.09473197,"No"
5,18.126092,"No"
5,20.09473197,"No"
5,20.09473197,"Yes"
3,20.09473197,"No"
4,25.1844155,"No"
5,25.1844155,"No"
2,25.1844155,"No"
5,25.1844155,"Yes"
5,25.1844155,"No"
5,25.1844155,"No"
5,25.1844155,"No"
5,25.1844155,"No"
5,26.40933068,"No"
4,25.1844155,"No"
5,25.1844155,"No"
5,16.26056845,"No"
3,16.26056845,"No"
3,16.26056845,"No"
1,16.16924218,"Yes"
5,16.16924218,"Yes"
3,15.01405299,"No"
5,17.37476399,"No"
4,15.01405299,"No"
5,15.01405299,"No"
