WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
14885,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,Dropped Off,0,0,I do not use a third transportation method,0,0
14928,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,4,Bus,82,7,Telecommute,18,1,I do not use a third transportation method,0,0
14932,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15060,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,67,7,Drive Alone,33,3,I do not use a third transportation method,0,0
15125,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,80,8,Light Rail (T),20,2,I do not use a third transportation method,0,0
15144,15220,Uptown / Bluff,,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15189,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15244,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15247,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15329,15220,Other (please specify),Strip District,,6,Walk,100,12,I only commute by one method,0,0,,0,0
15404,15220,Other (please specify),Mckeesport,,4,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,8,I only commute by one method,0,0,I do not use a third transportation method,0,0
15428,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
